Country,Company Name,Start of Production,Main Products
Canada,Canadian Autoparts Toyota Inc. (CAPTIN),Feb. 1985,Aluminum wheels
Canada,Toyota Motor Manufacturing Canada Inc. (TMMC),Nov. 1988,"RX (Incl. HEV), RAV4 (Incl. HEV)"
U.S.A.,"TABC, Inc.",Nov. 1972,"Catalytic converters, Steering columns, Stamped parts"
U.S.A.,"Toyota Motor Manufacturing, Kentucky, Inc. (TMMK)",May 1988,"RAV4 Hybrid, Camry (Incl. HEV), Avalon (Incl. HEV), ES (Incl. HEV)"
U.S.A.,"Toyota Motor Manufacturing, Kentucky, Inc. (TMMK)",May 1988,Engines
U.S.A.,"Toyota Motor Manufacturing, Missouri, Inc. (TMMMO)*1",Jan. 1993,Aluminum castings
U.S.A.,"Toyota Motor Manufacturing, West Virginia, Inc. (TMMWV)",Nov. 1998,"Engines, Transmissions"
U.S.A.,"Toyota Motor Manufacturing, Indiana, Inc. (TMMI)",Feb. 1999,"Sequoia, Highlander (Incl. HEV), Sienna"
U.S.A.,"Toyota Motor Manufacturing, Alabama, Inc. (TMMAL)",Apr. 2003,Engines
U.S.A.,"Toyota Motor Manufacturing, Texas, Inc. (TMMTX)",Nov. 2006,Tundra
U.S.A.,"Toyota Motor Manufacturing, Mississippi, Inc. (TMMMS)",Oct. 2011,Corolla
U.S.A.,"Mazda Toyota Manufacturing, U.S.A., Inc. (MTMUS)",2021,Corolla Cross
Mexico,Toyota Motor Manufacturing de Baja California S. de R.L. de C.V. (TMMBC),Sep. 2004,Tacoma
Mexico,Toyota Motor Manufacturing de Baja California S. de R.L. de C.V. (TMMBC),Sep. 2004,Truck beds
Mexico,Toyota Motor Manufacturing de Guanajuato (TMMGT),Dec. 2019,Tacoma
