Plantname,country,location,Currentvehicleproduction,Automotiveproducts &components,Yearopened,Yearclosed,Note
Anchieta[1],"SouthAmerica, Brazil","SãoBernardodo Campo,Greater São Paulo,São Paulo state",VW GolVW Fox VW SaveiroVW Polo VW VirtusVW Nivus,"Engines,Gearboxes",1959,,Oldest currently operating Volkswagen Group factory outside of Europe.Part of Volkswagen do Brasil Indústria de Veículos Automotores Ltda.
Angers[1][10],"Europe, France","Angers,Maine-et-Loire,Pays de la Loire",Scania truck assembly,,1992,,"Scania Production S.A.S. factory and assembly line, part of Scania AB"
Anting(SAICVolkswagen)[1][11],"Asia, China","Anting,JiadingDistrict,Shanghai",VW LavidaVW PoloVW Tiguan VW T-Cross VW Phideon,Engines,1985,,"SVW consists of a total area of 3.33 km2, and includes a floor space of 0.9 km2. One of the largest car-makers in China, it produces 500,000 units annually."
AurangabadShendra[1][4][12],"Asia, India","Shendra,Aurangabad,Maharashtra",Audi A3Audi A4 (B8)Audi A6 (C7)Audi Q3Audi Q5Audi Q7VW Tiguan Allspace Škoda Kodiaq,Engines,2001,,Headquarters of Škoda Auto India and Audi India. All Skoda (except Rapid) and Audi brand vehicles in India are manufactured here. 0.3 km2.
"Barcelona,Gearboxdel Prat[1]","Europe, Spain","El Prat de Llobregat,Baix Llobregat,Barcelona (province),Catalonia",,"Gearboxes,Foundry",1980,,"SEAT Gearbox del Prat, S.A. transmission production site, fully owned by SEAT, S.A., producing gearboxes for SEAT, VW, Audi and Škoda; in 2009 the facility received the Volkswagen Excellence Award for the high-quality production process and product[13]"
"Barcelona,Zona FrancaPress Shop[1]","Europe, Spain","Zona Franca,Barcelona,Catalonia",,"Stampedbodyparts,Components",1953,,"FormerSEAT, S.A. main factory and production line, now solely a press shop plant,also hosting SEAT's Training centre.Oldest currently operating Volkswagen Group factory outside of Germany."
BaunatalKassel[1],"Europe, Germany","Baunatal,Kassel,Hesse",,"Foundry,Remanufactured engines,Direct-Shift Gearboxes,Remanufactured transmissions,Exhaust systems, catalytic converters, diesel particulate filters",1958,,"The plant suffered damage from a magnesium fire in May 2006. It also mounts the 7-speed DSG to 4-cylinder engines. Also includes the Volkswagen AG Original Teile Centre (OTC), (Volkswagen Group Original Parts Centre) supplying 330,000 genuine parts."
VW Bratislava[1][4][14],"Europe, Slovakia","Bratislava,BratislavaRegion",VW TouaregAudi Q7 Audi Q8Porsche CayenneVW up!SEAT MiiŠkoda Citigo,Transmission assembly,1991,,"The only factory to produce the Golf Syncro four-wheel drive version. Headquarters, and part of Volkswagen Slovakia, a.s."
Braunschweig(Brunswick)[1],"Europe, Germany","Braunschweig,LowerSaxony",,"Axles,Steering units,Plastic parts,Vehicle components,Tools and machines",1938,,Also produces components for non-VW Group companies
Brussels[1][4],"Europe, Belgium","Vorst,Brussels",Audi e-tron (2018),,1949,,Formerly scheduled to close. Given a reprieve in 2007 when AUDI AG took over operations to build the upcoming Audi A1. Part of Audi Brussels S.A./N.V.
ChangchunFAW-Volkswagen[1][4][15],"Asia, China","Changchun,JilinProvince",VW BoraVW SagitarVW GolfVW MagotanVW CCAudi A4LAudi A6LAudi Q5L,GearboxesChassis components,1991,,"FAW-VW was established in 1991, with full operations commencing 1996. Now separated into two companies: FAW-Volkswagen Automotive Company Ltd. and FAW-EnginesVolkswagen Platform Company Ltd."
ChakanPune[12][16],"Asia, India","Chakan,Pune District,Maharashtra",Škoda RapidVW PoloVW Vento,Engines; serial production to start end of 2014; planned capacity of 360 engines per day,2009,,"Headquarters and plant of Volkswagen India, Škoda Auto India plant. Costing €580m, this is the largest German investment in India. A maximum annual capacity of 110,000 fully manufactured cars is anticipated."
Chattanooga[17][18],"NorthAmerica, United States","Chattanooga,Tennessee",Volkswagen Passat NMS Volkswagen Atlas,,2011,,"VW Group's 62nd plant, the Volkswagen Group of America plant is located on a 1,350 acres (550 ha) site and was inaugurated in May 2011, anticipating an annual capacity of 150,000 cars."
Chemnitz[1],"Europe, Germany","Chemnitz,Saxony",,"Four cylinder piston engines (petrol and diesel),Vehicle components",,,Part of the Volkswagen Sachsen GmbH subsidiary
ChengduFAW-Volkswagen[1],"Asia, China","Chengdu,SichuanProvince",VW Sagitar Jetta VA3 Jetta VS5 Jetta VS7,,2011[19],,"Began on May 2009, The 3rd car plant of FAW-Volkswagen Automotive Company Ltd. took 810,000 square meters in total"
Córdoba[1],"SouthAmerica, Argentina","Córdoba,CórdobaProvince",,"Manualtransaxles,Components",,,Part of Volkswagen Argentina S.A.
